title,body,answer,path
책임감이 강한 사람은 우울증에 잘 걸린다는데 ,저는 책임감이 강하고 남에게 싫은 소리를 못하는 성격이라 주위에서는 좋다는 평판을 받습니다. 어느 책을 보니 이런 성격을 가진 사람은 우울증에 잘 걸린다고 하는데 걱정입니다.,"
						매사에 책임감이 강하고 꼼꼼하고 가스나 자물쇠를 몇 번 재확인하는 사람들은 대체로 남을 비난하기보다는 자신을 비난하고 죄책감을 잘 느낍니다. 남들에게는 너그러우나 자신을 늘 나무라고 비난하는 성격이라면 우울증에 걸릴 소지가 다분히 있습니다. 남에게 야단 맞아도 기분 나쁜데 자기가 자기를 늘 야단친다면 누군들 우울해지지 않겠습니까? 일반적으로 자존심이 낮고, 지나치게 양심적이고, 대인관계가 의존적이고, 지속적인 대인관계를 이루지 못하는 사람들에서 우울증이 잘 생깁니다.
					",https://www.hidoc.co.kr//healthqna/faq/view/C0000315483
노인성 우울증도 유전이 되나요?,노인성 우울증은 부모로부터 혹은 자녀들에게도 유전되는 병인가요?,"
						다양한 분자유전학과 쌍생아 및 가족연구를 통해 우울증의 유전적 소인의 증거가 제시되고 있습니다. 그러나 노년기 우울증의 경우, 유전적 요인은 큰 의미가 없는 것으로 알려지고 있습니다. 우울증의 초발 연령이 50세 이후와 그 이전인 환자의 직계 가족이 우울증에 이환될 위험도는 각각 8.3%와 20%로 보고된 바 있습니다. 
					",https://www.hidoc.co.kr//healthqna/faq/view/C0000259348
폭식증과 우울증,현재 폭식증으로 너무 심한 고통을 받고 있습니다. 너무 창피해서 누구에게 이야기도 못하고 이렇게 방치하다가 우울증에 시달리고 있습니다. 이 우울증은 따로 치료해야 할까요?,"
						우울한 기분은 이상 식사 행동에 흔히 쫓아 오는 문제입니다. 우울한 기분이 이상 식사 행동의 원인이 되기도 하고 이상 식사 행동의 결과로 나타나기도 합니다. 이 문제가 나타나면 식사 문제를 이겨내는 데 더 어려움을 주게 됩니다. 심한 경우에는 이 문제를 이상 식사 행동 조절 전에 치료받아야 하는 경우도 있습니다. 그래서 평가를 통해 약물치료가 필요하다면 약물치료를 받고 면담치료를 통해 이상 식사 행동의 수정에 앞서 우울증의 치료가 선행됩니다. 그러나 많은 경우 식사 행동이 조절되면 이 문제도 같이 없어지는 경우가 많습니다.
					",https://www.hidoc.co.kr//healthqna/faq/view/C0000250744
우울증 치료를 받고 증세가 좋아진줄알았는데 조증이라고 합니다.,우울증으로 치료를 받고 증세가 좋아졌는데 너무 좋아져 들뜨고 말과 행동이 많아져 조증이라는 말을 들었습니다. 왜 그렇습니까?,"
						항우울제의 사용으로 인해 조증이 유발될 수 있습니다. 혹은 질병의 경과 중 우울증 다음에 조증이 나타나는 경우도 있습니다.
					",https://www.hidoc.co.kr//healthqna/faq/view/C0000309064
중풍에서 우울증이 많이 생기나요?,중풍에서 우울증이 많이 생기나요??,"
						우울증이 많은 빈도에서 생깁니다. 중풍 환자의 1/3에서 2/3 정도가 우울증이 발생하는데 뇌의 손상이 뇌의 앞쪽(전두엽)에 가까울수록 심합니다. 또 좌측 뇌에 손상이 있을 경우 우울증이 더 많이 발생합니다. 우울증이 많이 생기는 시기는 보통 뇌졸중 후 6개월에서 2년 사이입니다. 우울증이 있을 경우의 증상은 힘이 없으며 의욕을 잃은 듯한 표정 및 행동을 보입니다. 또 잠을 자지 못하는 경우가 많으며 말없이 가만히 있는 경우가 많게 됩니다. 이 같은 경우는 재활치료를 하는 데 많은 장애를 초래하므로 심리치료 및 약물치료가 필요합니다. 그리고 비록 장애인이 되었지만 환자 자신이 가족에게 꼭 필요한 존재라는 것을 인식시키도록 가족들의 사랑이 필요합니다.
					",https://www.hidoc.co.kr//healthqna/faq/view/C0000298582
조증환자의 과대망상,"조증 때는 내가 대통령이다, 예수다라는 식의 과대망상들이 특징적이라고 들었는데요, 제가 아는 사람은 안기부에서 자신을 감시한다고 불안해해서 입원했다는데 조증 치료를 받는다고 합니다. 어떻게 된 건가요?","
						조증 시기에 편집증, 망상, 환각 등이 동반될 수 있는데 알고 계신대로 망상이 기분과 일치하는 과대적, 종교적, 성적인 경우가 많지만 드물게는 기분과 일치하지 않는 내용으로 나타날 수도 있습니다. 또는 겉으로 드러나는 망상은 피해적인 내용이지만 근본적으로 과대 망상이 있는 경우 이는 드러나지 않고 피해망상만 두드러지는 경우도 있을 수 있습니다. 예를 들면 자신이 대통령이기 때문에 북한에서 내려온 간첩들이 자신을 노리고 있다는 망상의 경우입니다. 나를 간첩으로 오해하여 안기부가 따라 다닌다는 정신분열병 경우와는 다릅니다.
					",https://www.hidoc.co.kr//healthqna/faq/view/C0000309480
우울증은 회복되었는데 소극적이고 사람만나는걸 힘들어해요,남편이 우울증으로 치료받은 바 있습니다. 의사선생님은 우울증은 거의 회복되었다고 하는데 전보다 소극적이 되고 사람 만나는 것을 매우 힘들어 합니다. 어떻게 해야 하는지 알려 주십시오.,"
						우울증으로부터 완치되었다는 것은 이와 같은 대인관계나 사회기능상에서도 병전 수준으로 거의 완전히 회복되었음을 의미합니다. 그러나 병전 성격과 개인의 상황을 대처하는 방식에 따라 우울증의 후유증으로 대인관계나 사회기능상의 장애가 남을 수 있습니다. 이런 경우에는 상담치료나 카운셀링을 통해 도움 받을 수가 있으며, 가족이나 직장 등에서도 환자에게 너무 부담감을 주지 않는 것이 좋습니다. 대부분의 경우 시간이 지나면 완전히 병전 수준으로 복귀할 수 있을 것입니다.
",https://www.hidoc.co.kr//healthqna/faq/view/C0000314927
기억력이 떨어지는 것도 우울증의 증세인가요?,저희 어머님은 65세입니다. 요즘 들어 기분도 우울해하고 기억력도 떨어지시는 것 같습니다. 언뜻 보면 우울증 같기도 하고 치매가 오시는 것은 아닌지 걱정이 됩니다. 기억력이 떨어지는 것도 우울증의 증세인가요?,"
						그렇습니다. 우울증에서는 집중력과 주의력이 감소하여 사소한 것을 쉽게 잊어버리는 등 기억력의 장애가 나타날 수 있습니다. 심한 경우는 지남력의 장해, 무감동증 등의 증상이 나타날 수도 있으며, 이러한 기억력의 장애가 노인에게 나타나는 경우 치매와의 구별이 어려워질 때도 있습니다. 노인에게서 기억력이 떨어지고 우울해하며 의욕이 없어지는 경우, 신경정신과 전문의를 찾아 치매에 의한 증상인지 우울증에 의한 증상인지를 감별하고 적절한 치료를 받으셔야 합니다.
					",https://www.hidoc.co.kr//healthqna/faq/view/C0000315479
월경 전 우울증,월경 전이면 며칠씩 기분이 우울하고 예민해지는 데 이것도 우울증인가요?,"
						대부분의 월경주기에서 황체기의 마지막 주 동안에(월경 전에) 뚜렷한 우울기분, 불안, 기분 등요. 일상생활에서의 흥미 감소 등의 증상들이 규칙적으로 반복하여 발생하고 월경 시작 후 며칠 안에 회복되는 경우에는 월경전 증후군이라고 볼 수 있으며, 이것도 역시 우울증에 속합니다. 행동상의 변화는 먹는 방식이 달라질 수 있고, 도벽, 싸움질도 있으며, 신체적으로는 유방의 압통, 부종 등이 올 수 있습니다. 이들 증상들이 학교 또는 일상 활동을 뚜렷하게 방해할 만큼 상당히 심한 경우에는 병원에서 상담하여 치료방향을 의논하는 것이 좋습니다.
					",https://www.hidoc.co.kr//healthqna/faq/view/C0000315493
우울증도 치매와 비슷한 증상을 보일 수 있다고 하는데요. ,우울증도 치매와 비슷한 증상을 보일 수 있다고 하는데요. 사실인가요?,"
						우울증이 심해지면 치매 환자가 보이는 모습을 모두 나타낼 수 있습니다. 우울증에서는 우울한 느낌과 함께 주변에 대한 관심과 의욕이 떨어지면서 안절부절못하거나 질문이나 지시를 해도 반응이 느려지는 증상들이 나타납니다. 새벽에 일찍 깨거나 숙면을 취하지 못하여 가벼운 소음 등의 사소한 자극에도 자주 깨기도 하고 너무 잠을 자는 경향을 보일 수도 있습니다. 증상이 심할 경우 '주변 사람들이 나를 따돌리고 괴롭힌다' '나를 업신여기고 수군댄다' 는 피해의식이 생기기도 합니다. 우울증이 노인에게 나타나면 '노인성 우울증'이라고 하는데 앞에서 언급한 것 외에 몇 가지 특징적인 경향을 보입니다. 자살에 집착하는 경향이 강하며, 저절로 발생하는 경우보다 은퇴, 경제적 능력의 상실, 신체질환, 배우자나 아주 가깝게 지냈던 친구의 사망 등 외부적 요인에 의해 나타나는 경우가 많습니다. 또한 건강에 대한 걱정이 자주 발생하는 것도 노인성 우울증의 특징 중에 하나로 알려져 있습니다. 그러나 가장 특징적인 것은 치매유사증상을 동반하는 경우가 많다는 점입니다. 이와 같이 우울증에서 치매유사증상이 동반되는 경우를 '가성치매' 혹은 '우울증 치매증후군'이라고 합니다. 통계에 의하면 치매로 진단을 받은 환자의 20~32%가 가성치매인 것으로 보고된 바도 있습니다.
					",https://www.hidoc.co.kr//healthqna/faq/view/C0000221718
